first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Giannelli,Imbula,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Bojan,Krkic Perez,0,0,2,71,1,13.3,0.0,6.0,0,5,1.9,0,0,0,0.0,55
Ramadan,Sobhi,2,1,49,1166,28,236.1,221.2,173.0,2,216,63.0,2,0,2,0.5,45
Darren,Fletcher,1,1,64,2110,48,334.3,332.2,70.0,3,319,73.7,4,0,0,0.4,47
Peter,Crouch,4,2,63,1241,25,279.9,247.8,359.0,6,189,88.5,0,0,2,2.3,48
Mame Biram,Diouf,6,2,89,2248,45,247.0,430.2,765.0,8,314,143.9,7,0,5,1.9,52
Saido,Berahino,0,1,20,483,13,51.8,40.4,149.0,0,42,23.7,2,0,0,0.3,56
Kevin,Wimmer,0,0,19,1321,32,38.8,297.0,28.0,1,196,36.5,1,0,5,0.3,40
Eric Maxim,Choupo-Moting,5,5,107,2241,45,327.5,505.6,851.0,9,341,168.1,5,0,3,2.1,53
Jesé,Rodríguez Ruiz,1,1,31,609,17,127.7,110.4,171.0,2,93,40.8,1,0,0,2.0,54
Bruno,Martins Indi,0,0,17,1101,27,48.1,211.0,60.0,0,153,32.0,1,0,3,0.0,49
Harry,Souttar,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Thomas,Edwards,0,0,6,481,15,23.0,93.4,10.0,0,81,12.7,0,0,0,0.3,40
Julien,Ngoy,0,0,1,19,2,1.8,1.0,0.0,0,4,0.3,0,0,0,0.3,45
Jakob,Haugaard,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Stephen,Ireland,0,0,2,93,4,13.9,6.4,10.0,0,4,3.0,0,0,1,0.0,45
Moritz,Bauer,0,0,32,969,14,152.7,150.8,57.0,1,160,36.2,4,0,2,0.5,45
Konstantinos,Stafylidis,0,0,6,334,6,23.8,68.2,18.0,0,38,11.0,0,0,0,0.0,43
Papa Alioune,Ndiaye,0,1,19,778,13,96.3,145.4,101.0,0,78,34.4,1,0,3,0.0,50
Tyrese,Campbell,0,0,2,47,1,2.2,5.8,11.0,0,5,1.9,0,0,0,0.5,45
Lasse,Sorenson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Andy,King,2,1,40,944,17,68.2,170.0,141.0,1,164,38.1,1,0,1,3.5,42
Lukasz,Fabianski,0,0,130,2970,46,10.0,868.0,0.0,10,650,87.8,9,0,0,8.7,47
Kristoffer,Nordfeldt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,39
Kyle,Naughton,0,2,97,2776,43,245.3,616.2,128.0,11,521,99.3,9,0,1,5.5,46
Angel,Rangel,0,0,3,64,1,1.6,13.8,0.0,0,12,1.5,0,0,0,7.5,39
Federico,Fernández,1,1,82,2430,38,53.6,701.0,165.0,10,469,92.1,7,0,4,3.7,45
Stephen,Kingsley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Mike,van der Hoorn,1,0,71,1603,18,50.6,400.2,115.0,4,351,56.6,8,0,2,1.0,44
Alfie,Mawson,2,1,106,2970,46,76.3,749.6,221.0,7,592,105.1,9,0,2,3.6,51
Martin,Olsson,0,1,80,2754,42,237.8,294.6,110.0,0,405,64.4,9,0,5,0.3,50
Wayne,Routledge,0,0,15,355,9,82.8,45.6,36.0,0,48,16.2,1,0,1,0.1,51
Leon,Britton,0,0,9,269,1,5.0,11.8,0.0,0,25,1.6,3,0,1,0.1,44
Jay,Fulton,0,0,1,17,0,0.1,0.2,0.0,0,1,0.0,0,0,1,0.0,43
Sung-yueng,Ki,2,2,66,1544,22,275.0,270.6,141.0,9,287,68.6,5,0,1,1.0,47
Jefferson,Montero,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49
Leroy,Fer,1,1,41,1394,26,180.0,240.6,139.0,0,201,56.0,4,0,5,0.2,52
Nathan,Dyer,0,1,37,1143,18,166.1,83.6,88.0,0,125,33.6,3,0,2,0.2,44
Tom,Carroll,0,4,77,2257,31,630.9,403.8,163.0,6,384,119.8,7,0,3,4.3,43
Modou,Barrow,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Luciano,Narsingh,1,0,28,587,15,148.3,106.4,153.0,3,90,40.7,1,0,0,0.0,47
Roque,Mesa,0,0,18,753,16,85.7,89.0,34.0,0,125,20.9,2,0,3,0.4,42
Oliver,McBurnie,0,1,16,267,5,30.4,38.4,105.0,0,45,17.4,0,0,0,1.8,46
Jordan,Ayew,7,2,98,2400,39,313.0,529.4,766.0,12,362,161.0,7,1,2,6.3,53
Tammy,Abraham,5,3,82,1608,29,160.9,262.6,640.0,11,233,106.0,4,0,0,3.5,54
André,Ayew,3,4,65,1384,32,192.9,254.2,289.0,2,202,73.2,3,0,4,1.0,68
Kyle,Bartley,0,0,4,210,3,21.2,67.6,16.0,0,25,10.5,0,0,2,0.1,43
Sam,Clucas,3,1,69,1812,27,201.4,332.8,155.0,4,280,68.7,5,0,2,0.4,47
Renato,Sanches,0,0,20,699,10,135.0,71.8,64.0,0,83,27.0,2,0,1,0.3,43
Wilfried,Bony,2,1,33,701,8,70.6,119.0,211.0,3,103,39.3,2,0,2,0.1,56
Joe,Rodon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Erwin,Mulder,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Connor,Roberts,0,0,1,25,1,1.1,1.0,0.0,0,3,0.2,0,0,0,0.1,40
Fernando,Llorente,1,0,21,219,1,66.2,57.2,82.0,2,67,20.5,1,0,1,0.2,73
Hugo,Lloris,0,0,124,2880,30,0.1,592.0,0.0,3,602,58.9,13,0,1,8.5,54
Michel,Vorm,0,0,3,90,1,0.0,19.0,0.0,0,17,1.9,0,0,0,0.1,48
Toby,Alderweireld,0,0,40,990,8,54.4,214.8,37.0,3,218,30.7,5,0,3,5.0,58
Danny,Rose,0,1,19,618,9,110.0,100.4,75.0,0,107,28.6,2,0,3,0.3,64
Jan,Vertonghen,0,1,117,2939,31,194.9,708.6,177.0,10,699,108.4,13,0,4,8.8,60
Ben,Davies,2,7,131,2143,20,663.0,580.4,201.0,14,563,144.4,10,0,3,21.0,58
Kieran,Trippier,0,6,93,1650,20,497.6,385.4,54.0,15,454,93.8,7,0,1,4.4,52
Eric,Dier,0,2,80,2642,26,287.8,565.8,259.0,2,451,111.2,14,0,4,2.6,47
Mousa,Dembélé,0,0,49,1813,22,285.9,292.2,73.0,3,335,65.1,6,0,6,1.7,49
Erik,Lamela,0,3,35,650,8,244.3,115.4,274.0,0,119,62.9,3,0,3,0.1,63
Christian,Eriksen,11,9,186,2858,28,1319.6,978.8,936.0,23,750,323.7,15,0,0,16.5,95
Bamidele,Alli,8,13,161,2704,28,852.5,727.6,883.0,12,520,246.4,13,0,6,13.1,90
Victor,Wanyama,1,0,26,543,6,63.6,149.0,50.0,1,125,26.1,1,0,0,0.4,48
Heung-Min,Son,12,7,167,2114,17,535.7,695.0,1136.0,16,518,236.6,12,0,0,14.6,83
Harry,Winks,0,1,31,768,9,172.2,144.4,14.0,0,167,33.1,4,0,0,0.1,48
Moussa,Sissoko,1,1,52,1196,14,365.0,227.2,242.0,0,223,83.4,6,0,3,0.4,53
Harry,Kane,25,2,191,2714,29,455.7,1071.6,2175.0,29,671,370.4,13,0,5,30.9,128
Vincent,Janssen,0,0,1,1,0,0.0,0.0,0.0,0,2,0.0,0,0,0,0.1,74
Kyle,Walker-Peters,0,0,7,98,0,21.0,18.6,4.0,0,33,4.4,1,0,0,0.9,40
Cameron,Carter-Vickers,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Davinson,Sánchez,0,0,89,2250,20,61.5,526.8,89.0,5,515,67.7,11,1,1,1.1,60
Tashan,Oakley-Boothe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Serge,Aurier,2,2,77,1427,13,236.5,367.2,209.0,9,335,81.4,6,1,1,0.9,59
Juan,Foyth,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Paulo,Gazzaniga,0,0,9,90,0,0.0,27.4,0.0,2,26,2.7,1,0,0,0.1,42
Alfie,Whiteman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Lucas,Rodrigues Moura da Silva,0,0,5,121,1,45.5,30.6,22.0,0,22,9.9,0,0,0,0.0,77
Kazaiah,Sterling,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Andre,Gray,4,3,68,1273,26,219.8,207.4,511.0,3,200,92.2,5,0,1,1.3,63
Nathaniel,Chalobah,0,0,12,429,7,26.0,77.4,93.0,0,37,19.6,3,0,1,0.8,42
Molla,Wagué,1,0,19,438,8,5.6,98.0,41.0,0,82,14.5,1,0,0,0.0,45
Costel,Pantilimon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Heurelho,Gomes,0,0,62,2038,39,0.2,452.4,0.0,4,386,45.1,5,0,0,1.3,45
Younes,Kaboul,0,0,7,151,3,0.9,47.4,2.0,0,35,5.0,1,0,0,0.1,42
Craig,Cathcart,0,0,9,225,2,1.4,40.0,21.0,0,46,6.3,1,0,1,0.0,44
Sebastian,Prödl,0,0,42,1566,29,25.9,276.4,89.0,0,267,39.3,5,0,5,0.3,43
José,Holebas,0,4,68,2111,43,574.9,454.4,123.0,6,383,115.4,6,0,6,0.6,48
Miguel,Britos,1,0,22,795,16,42.7,180.4,51.0,0,149,27.3,2,1,3,0.5,43
Christian,Kabasele,2,0,65,2129,40,51.4,590.2,120.0,2,380,76.3,6,0,4,0.5,44
Daryl,Janmaat,3,1,55,1638,35,190.3,406.4,251.0,3,308,84.8,2,0,3,0.5,48
Adrian,Mariappa,0,0,54,2019,40,46.6,410.0,104.0,2,338,56.1,6,0,4,5.4,42
Brandon,Mason,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.2,39
Francisco,Femenía Far,1,1,64,1646,32,300.8,320.2,111.0,9,380,73.4,5,0,2,1.6,43
Tom,Cleverley,1,2,58,1900,33,464.8,332.2,124.0,3,300,92.1,6,1,1,0.4,50
Etienne,Capoue,1,1,44,1357,26,145.6,243.8,132.0,0,215,52.2,4,0,3,1.4,48
Valon,Behrami,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Steven,Berghuis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Nordin,Amrabat,0,0,6,198,3,46.5,22.8,10.0,0,11,8.0,1,0,0,0.0,50
Isaac,Success,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,53
Abdoulaye,Doucouré,7,3,127,3054,59,564.4,799.8,495.0,16,626,186.4,9,0,10,12.8,53
Roberto,Pereyra,4,2,68,1465,32,349.4,288.8,408.0,3,256,104.6,1,0,3,0.3,58
Will,Hughes,2,3,47,725,12,232.2,218.8,130.0,5,160,58.2,4,0,0,0.3,46
Troy,Deeney,5,2,71,1722,29,324.4,326.0,453.0,7,239,109.8,6,1,1,1.1,63
Stefano,Okaka,1,1,24,442,9,92.4,74.6,145.0,1,52,29.8,2,0,2,0.3,53
Mauro,Zárate,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54
Ben,Watson,0,0,12,455,12,46.1,74.2,10.0,0,61,13.1,0,0,1,0.1,43
Jerome,Sinclair,0,0,4,29,1,11.0,4.4,4.0,0,12,1.9,0,0,0,0.2,49
Richarlison,de Andrade,5,8,120,2627,51,373.8,482.6,1150.0,4,302,200.1,8,0,4,7.0,59
André,Carrillo,1,3,63,1522,31,330.7,266.0,261.0,4,270,85.8,4,0,2,0.1,54
Orestis,Karnezis,0,0,44,1111,21,0.0,236.6,0.0,5,222,23.7,4,0,0,0.2,45
Marvin,Zeegelaar,0,2,28,993,18,142.1,185.2,24.0,5,186,35.2,2,1,4,0.3,40
Michael,Folivi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Daniel,Bachmann,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Gerard,Deulofeu,1,1,21,311,2,123.7,78.2,72.0,3,79,27.4,2,0,0,0.4,55
Carl,Stewart,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Dodi,Lukebakio,0,0,1,15,1,24.7,6.6,5.0,0,5,3.6,0,0,0,0.0,49
Didier,Ndong,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Joy,Mukena,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Kieran,Gibbs,0,2,73,2556,42,351.7,449.8,129.0,1,426,93.2,6,0,2,0.4,50
Gareth,Barry,1,2,56,1921,35,274.9,347.8,195.0,0,287,82.0,4,0,4,0.8,44
Daniel,Sturridge,2,1,30,508,7,184.6,130.6,300.0,0,123,61.5,3,0,0,0.6,79
Boaz,Myhill,0,0,1,90,1,0.0,12.2,0.0,0,7,1.2,0,0,1,3.2,40
Ben,Foster,0,0,105,3060,53,20.0,641.8,0.0,8,565,66.4,8,0,2,9.5,43
Allan-Roméo,Nyom,0,1,59,2036,38,263.6,398.2,23.0,6,355,68.3,5,0,5,1.1,47
Jonny,Evans,2,2,77,2268,38,104.1,536.0,211.0,5,452,85.1,6,0,7,1.0,49
Craig,Dawson,2,1,74,2240,37,170.4,550.4,252.0,3,392,97.6,6,0,5,1.5,48
Gareth,McAuley,0,0,8,454,15,4.9,85.4,2.0,0,73,9.3,0,0,0,0.5,45
Jake,Livermore,1,1,71,2401,39,272.9,353.8,165.0,3,315,79.5,6,0,4,0.1,48
Nacer,Chadli,1,0,13,174,2,25.9,42.4,33.0,3,30,10.1,1,0,1,0.2,56
James,Morrison,1,0,13,205,1,40.4,56.0,47.0,0,35,14.5,2,0,0,0.0,53
Claudio,Yacob,0,0,23,898,17,29.1,142.8,59.0,0,124,23.2,3,0,5,0.2,43
James,McClean,1,0,39,1126,18,263.0,207.6,261.0,1,133,71.9,4,0,5,0.1,47
Jonathan,Leko,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Matt,Phillips,1,3,67,1907,32,469.8,312.6,324.0,0,237,110.7,8,0,3,0.5,54
Sam,Field,1,0,23,534,7,64.8,102.4,95.0,2,70,26.3,4,0,3,0.1,44
Chris,Brunt,0,7,72,1647,21,594.1,378.6,117.0,6,344,109.1,7,0,3,0.5,50
Salomón,Rondón,7,3,97,2531,47,353.8,422.6,850.0,5,268,161.3,4,0,4,0.9,60
Hal,Robson-Kanu,2,0,30,796,13,105.5,119.8,264.0,1,77,48.3,4,1,2,0.4,49
Jay,Rodriguez,7,1,103,2581,40,324.4,439.4,886.0,11,314,164.0,8,0,2,2.2,53
Ahmed El-Sayed,Hegazi,2,0,99,3116,53,99.0,888.4,181.0,8,574,117.1,8,0,3,18.2,46
Rekeem,Harper,0,0,1,20,0,20.4,6.6,0.0,0,6,2.7,0,0,0,0.0,45
Kane,Wilson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40
Oliver,Burke,0,2,23,356,11,73.9,77.4,75.0,0,75,22.5,0,0,0,0.0,49
Grzegorz,Krychowiak,0,3,53,1557,30,215.0,270.4,83.0,4,245,56.9,3,0,2,0.1,47
Alex,Palmer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Max,Melbourne,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Rayhaan,Tulloch,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,45
Nathan,Ferguson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Ali,Gabr,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,42
Kyle,Jameson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Marko,Arnautovic,9,5,116,1871,41,398.1,571.8,919.0,10,350,188.9,5,1,3,6.1,70
Adrián,San Miguel del Castillo,0,0,48,1350,24,0.0,343.0,0.0,1,276,34.3,4,0,2,1.9,41
Darren,Randolph,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Jose,Fonte,0,2,34,688,11,57.8,186.8,89.0,3,156,33.4,3,0,0,0.8,47
James,Collins,1,0,35,1047,19,25.5,346.0,72.0,3,198,44.4,3,0,3,0.2,43
Winston,Reid,0,0,42,1452,27,48.8,322.4,64.0,3,264,43.6,5,0,5,0.6,48
Aaron,Cresswell,0,7,99,2622,51,543.9,574.4,180.0,10,523,130.2,8,0,6,2.2,49
Angelo,Ogbonna,1,0,63,2430,51,80.7,595.0,119.0,4,440,79.4,5,0,3,3.2,42
Sam,Byram,0,0,5,246,7,37.6,71.0,36.0,0,41,14.5,0,0,1,0.1,42
Arthur,Masuaku,0,3,53,1583,26,261.5,331.2,116.0,2,295,70.8,4,0,5,0.9,42
Pablo,Zabaleta,0,0,76,2839,53,253.2,557.8,45.0,6,490,85.7,8,0,8,1.9,49
Robert,Snodgrass,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,58
Mark,Noble,3,0,66,1950,36,270.7,421.2,104.0,5,369,79.7,5,0,5,0.2,53
Cheikhou,Kouyaté,2,3,74,2348,47,243.8,399.8,272.0,2,310,91.4,5,0,5,0.3,50
Pedro,Obiang,2,0,53,1558,29,131.8,377.4,88.0,6,267,60.0,5,0,3,0.7,42
Manuel,Lanzini,3,6,79,1695,36,525.9,438.0,412.0,8,369,137.7,4,0,4,0.7,66
Michail,Antonio,3,2,62,1350,23,256.3,296.6,393.0,1,188,94.6,7,0,1,0.2,74
Sofiane,Feghouli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55
Edimilson,Fernandes,0,0,17,637,14,56.3,60.6,62.0,0,72,17.9,2,0,1,0.2,43
Andy,Carroll,3,1,33,699,12,109.7,139.4,326.0,6,98,56.4,3,1,5,0.2,57
Diafra,Sakho,2,1,24,294,11,25.1,77.6,110.0,1,65,21.2,0,0,2,0.1,55
Ashley,Fletcher,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,45
Enner,Valencia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Joe,Hart,0,1,58,1620,35,10.0,358.4,0.0,3,323,36.8,4,0,0,5.7,42
Javier,Hernández Balcázar,8,2,91,1483,33,289.7,366.2,451.0,14,306,109.5,6,0,3,7.5,67
Declan,Rice,0,0,27,971,20,21.6,230.2,17.0,0,189,26.9,1,0,1,0.1,44
Sead,Haksabanovic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Antonio,Martinez Lopez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Domingos,Quina,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Ben,Johnson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Nathan,Trott,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40
Moses,Makasi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Reece,Burke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Josh,Cullen,0,0,2,6,0,0.6,7.2,0.0,0,7,0.8,0,0,0,0.0,45
João Mário,Naval Costa Eduardo,1,1,28,667,12,179.9,108.8,123.0,2,108,41.0,2,0,0,0.1,60
Reece,Oxford,0,0,1,4,0,0.0,3.0,0.0,0,2,0.3,0,0,0,0.0,45
Jordan,Hugill,0,0,3,22,0,0.4,0.0,0.0,0,4,0.0,0,0,0,0.0,50
Patrice,Evra,0,0,1,161,6,2.9,33.4,0.0,0,22,3.7,0,0,0,0.2,42
Marcus,Browne,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Josh,Pask,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Grady,Diangana,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
